E2,82.41,40
F2,87.31,41
F#2/Gb2,92.50,42
G2,98.00,43
G#2/Ab2,103.83,44
A2,110.00,45
A#2/Bb2,116.54,46
B2,123.47,47
C3,130.81,48
C#3/Db3,138.59,49
D3,146.83,50
D#3/Eb3,155.56,51
E3,164.81,52
F3,174.61,53
F#3/Gb3,185.00,54
G3,196.00,55
G#3/Ab3,207.65,56
A3,220.00,57
A#3/Bb3,233.08,58
B3,246.94,59
C4,261.63,60
C#4/Db4,277.18,61
D4,293.66,62
D#4/Eb4,311.13,63
E4,329.63,64
F4,349.23,65
F#4/Gb4,369.99,66
G4,392.00,67
G#4/Ab4,415.30,68
A4,440.00,69
A#4/Bb4,466.16,70
B4,493.88,71
C5,523.25,72
C#5/Db5,554.37,73
D5,587.33,74
D#5/Eb5,622.25,75
E5,659.25,76
F5,698.46,77
F#5/Gb5,739.99,78
G5,783.99,79
G#5/Ab5,830.61,80
A5,880.00,81
A#5/Bb5,932.33,82
B5,987.77,83
C6,1046.50,84
C#6/Db6,1108.73,85
D6,1174.66,86
D#6/Eb6,1244.51,87
E6,1318.51,88
